ID,Name,Grad,Schule,Unterschule,Kategorie,Beschreibung,Alchemist,Antipaladin,Barde,Druide,Hexe,Hexenmeister,Inquisitor,Kampfmagus,Magier,Kleriker,Mystiker,Paktmagier,Paladin,Waldläufer,Blutwüter,Schamane,Jäger,Regelwerk,Seite
935,"<a href=""http://prd.5footstep.de/Permalink?page_id=935"" target=""_blank"">Rindenhaut</a>","Schamane 2,Paktmagier 2,Jäger 2,Druide 2,Alchemist 2,Waldläufer 2",Verwandlung,,,Verleiht Verbesserungsbonus von +2 (oder höher) auf natürliche Rüstungen.,2,,,2,,,,,,,,2,,2,,2,2,Grundregelwerk,319
936,"<a href=""http://prd.5footstep.de/Permalink?page_id=936"" target=""_blank"">Rostgriff</a>","Druide 4,Jäger 4",Verwandlung,,,Deine Berührung bringt Eisen und Eisenlegierungen zum Rosten.,,,,4,,,,,,,,,,,,,4,Grundregelwerk,319
937,"<a href=""http://prd.5footstep.de/Permalink?page_id=937"" target=""_blank"">Rückruf</a>","Kleriker 6,Druide 8",Beschwörung,Teleportation,,Teleportiert dich zurück an einen bestimmten Ort.,,,,8,,,,,,6,,,,,,,,Grundregelwerk,320
938,"<a href=""http://prd.5footstep.de/Permalink?page_id=938"" target=""_blank"">Sagenkunde</a>","Barde 4,Hexe 6,Inquisitor 6,Hexenmeister/Magier 6",Erkenntnis,,,"&lt;sup&gt;MF&lt;/sup&gt;Du erfährst die Legenden über eine Person, einen Ort oder einen Gegenstand.",,,4,,6,6,6,,6,,,,,,,,,Grundregelwerk,320
939,"<a href=""http://prd.5footstep.de/Permalink?page_id=939"" target=""_blank"">Sanfte Ruhe</a>","Hexe 2,Kleriker 2,Hexenmeister/Magier 3,Schamane 2",Nekromantie,,,Konserviert eine Leiche.,,,,,2,3,,,3,2,,,,,,2,,Grundregelwerk,320
940,"<a href=""http://prd.5footstep.de/Permalink?page_id=940"" target=""_blank"">Säurenebel</a>","Kampfmagus 6,Hexenmeister/Magier 6,Elementarmagier (Erde) 6",Beschwörung,Erschaffung,Säure,"Nebel, der Säureschaden verursacht.",,,,,,6,,6,6,,,,,,,,,Grundregelwerk,320
941,"<a href=""http://prd.5footstep.de/Permalink?page_id=941"" target=""_blank"">Säurepfeil</a>","Kampfmagus 2,Hexenmeister/Magier 2,Elementarmagier (Erde) 2,Blutwüter 2",Beschwörung,Erschaffung,Säure,Berührungsangriff auf Entfernung; 1 Runde +1 Runde/3 Stufen 2W4 Schaden.,,,,,,2,,2,2,,,,,,2,,,Grundregelwerk,321
942,"<a href=""http://prd.5footstep.de/Permalink?page_id=942"" target=""_blank"">Säurespritzer</a>","Elementarmagier (Erde) 0,Inquisitor 0,Paktmagier 0,Kampfmagus 0,Hexenmeister/Magier 0",Beschwörung,Erschaffung,Säure,Kugel verursacht 1W3 Säureschaden.,,,,,,0,0,0,0,,,0,,,,,,Grundregelwerk,321
943,"<a href=""http://prd.5footstep.de/Permalink?page_id=943"" target=""_blank"">Schärfen</a>","Inquisitor 3,Kampfmagus 3,Hexenmeister/Magier 3,Blutwüter 3",Verwandlung,,,Verdoppelt die normale Bedrohungschance einer Waffe.,,,,,,3,3,3,3,,,,,,3,,,Grundregelwerk,321
944,"<a href=""http://prd.5footstep.de/Permalink?page_id=944"" target=""_blank"">Schatten</a>",Hexenmeister/Magier 9,Illusion,Schattenzauber,Schatten,"Wie Schattenbeschwörung, aber bis zum 8. Grad und zu 80% real.",,,,,,9,,,9,,,,,,,,,Grundregelwerk,321
945,"<a href=""http://prd.5footstep.de/Permalink?page_id=945"" target=""_blank"">Schattenbeschwörung</a>","Barde 4,Hexenmeister/Magier 4",Illusion,Schattenzauber,Schatten,"Ahmt Beschwörungen nach, die niedriger als der 4. Grad sind, sind aber nur zu 20% real.",,,4,,,4,,,4,,,,,,,,,Grundregelwerk,321
946,"<a href=""http://prd.5footstep.de/Permalink?page_id=946"" target=""_blank"">Mächtige Schattenbeschwörung</a>",Hexenmeister/Magier 7,Illusion,Schattenzauber,Schatten,"Wie Schattenbeschwörung, kann aber Beschwörungen bis zum 6. Grad",,,,,,7,,,7,,,,,,,,,Grundregelwerk,321
947,"<a href=""http://prd.5footstep.de/Permalink?page_id=947"" target=""_blank"">Schattenhervorrufung</a>","Hexenmeister/Magier 5,Barde 5",Illusion,Schattenzauber,Schatten,"Ahmt Hervorrufungen unter dem 5. Grad nach, diese sind aber nur zu 20% real.",,,5,,,5,,,5,,,,,,,,,Grundregelwerk,322
948,"<a href=""http://prd.5footstep.de/Permalink?page_id=948"" target=""_blank"">Mächtige Schattenhervorrufung</a>",Hexenmeister/Magier 8,Illusion,Schattenzauber,Schatten,"Wie Schattenhervorrufung, kann aber Hervorrufungen bis zum 7. Grad",,,,,,8,,,8,,,,,,,,,Grundregelwerk,322
949,"<a href=""http://prd.5footstep.de/Permalink?page_id=949"" target=""_blank"">Schattenreise</a>","Alchemist 6,Hexenmeister/Magier 6,Barde 5",Illusion,Schattenzauber,Schatten,"Du trittst in die Schatten, um schneller zu reisen.",6,,5,,,6,,,6,,,,,,,,,Grundregelwerk,322
950,"<a href=""http://prd.5footstep.de/Permalink?page_id=950"" target=""_blank"">Scheingelände</a>","Barde 4,Hexenmeister/Magier 4",Illusion,Fehlgefühl,,"Lässt eine Geländeart wie eine andere aussehen (Feld als Wald, etc.).",,,4,,,4,,,4,,,,,,,,,Grundregelwerk,322
951,"<a href=""http://prd.5footstep.de/Permalink?page_id=951"" target=""_blank"">Schild</a>","Kampfmagus 1,Hexenmeister/Magier 1,Blutwüter 1,Paktmagier 1,Alchemist 1",Bannzauber,,Energie,"Unsichtbarer Schild verleiht +4 auf die RK, wehrt Magische Geschosse ab.",1,,,,,1,,1,1,,,1,,,1,,,Grundregelwerk,322
952,"<a href=""http://prd.5footstep.de/Permalink?page_id=952"" target=""_blank"">Schild der Ordnung</a>",Kleriker 8,Bannzauber,,Ordnung,"&lt;sup&gt;F&lt;/sup&gt;+4 auf die RK, +4 Resistenz und ZR von 25 gegen chaotische Zauber.",,,,,,,,,,8,,,,,,,,Grundregelwerk,322
953,"<a href=""http://prd.5footstep.de/Permalink?page_id=953"" target=""_blank"">Schild des Glaubens</a>","Inquisitor 1,Kleriker 1",Bannzauber,,,Aura verleiht einen Ablenkungsbonus von +2 oder höher.,,,,,,,1,,,1,,,,,,,,Grundregelwerk,323
954,"<a href=""http://prd.5footstep.de/Permalink?page_id=954"" target=""_blank"">Schillerndes Muster</a>",Hexenmeister/Magier 8,Illusion,Täuschung,Geistesbeeinflussung,Sich windende Farben verwirren oder betäuben Ziele oder machen sie bewusstlos.,,,,,,8,,,8,,,,,,,,,Grundregelwerk,323
955,"<a href=""http://prd.5footstep.de/Permalink?page_id=955"" target=""_blank"">Schlaf</a>","Barde 1,Hexe 1,Hexenmeister/Magier 1,Schamane 1",Verzauberung,Zwang,Geistesbeeinflussung,Lässt 4 TW an Kreaturen in einen magischen Schlaf fallen.,,,1,,1,1,,,1,,,,,,,1,,Grundregelwerk,323
956,"<a href=""http://prd.5footstep.de/Permalink?page_id=956"" target=""_blank"">Schlaflied</a>",Barde 0,Verzauberung,Zwang,Geistesbeeinflussung,Macht Ziel schläfrig; -5 auf Würfe für Wahrnehmung und  2 auf Willenswürfe gegen Schlaf.,,,0,,,,,,,,,,,,,,,Grundregelwerk,323
957,"<a href=""http://prd.5footstep.de/Permalink?page_id=957"" target=""_blank"">Schlamm zu Fels verwandeln</a>","Druide 5,Hexenmeister/Magier 5,Elementarmagier (Erde) 5,Jäger 5",Verwandlung,,Erde,Verwandelt zwei Würfel/Stufe mit jeweils 3m Kantenlänge.,,,,5,,5,,,5,,,,,,,,5,Grundregelwerk,323
958,"<a href=""http://prd.5footstep.de/Permalink?page_id=958"" target=""_blank"">Schläue des Fuchses</a>","Barde 2,Paktmagier 2,Alchemist 2,Hexenmeister/Magier 2",Verwandlung,,,Ziel erhält 1 Min./Stufe +4 IN.,2,,2,,,2,,,2,,,2,,,,,,Grundregelwerk,323
959,"<a href=""http://prd.5footstep.de/Permalink?page_id=959"" target=""_blank"">Massen-Schläue des Fuchses</a>","Barde 6,Paktmagier 4,Hexenmeister/Magier 6",Verwandlung,,,"Wie Schläue des Fuchses, kann aber 1 Ziel / Stufe betreffen.",,,6,,,6,,,6,,,4,,,,,,Grundregelwerk,324
960,"<a href=""http://prd.5footstep.de/Permalink?page_id=960"" target=""_blank"">Schleier</a>","Barde 6,Hexenmeister/Magier 6",Illusion,Fehlgefühl,,Verändert das Aussehen einer ganzen Gruppe von Kreaturen.,,,6,,,6,,,6,,,,,,,,,Grundregelwerk,324
961,"<a href=""http://prd.5footstep.de/Permalink?page_id=961"" target=""_blank"">Schlinge</a>","Druide 3,Waldläufer 2,Jäger 3",Verwandlung,,,Erschafft eine magische Falle.,,,,3,,,,,,,,,,2,,,3,Grundregelwerk,324
962,"<a href=""http://prd.5footstep.de/Permalink?page_id=962"" target=""_blank"">Schlingen und Fallen entdecken</a>","Druide 1,Waldläufer 1,Jäger 1",Erkenntnis,,,Entdeckt natürliche und primitive Fallen.,,,,1,,,,,,,,,,1,,,1,Grundregelwerk,324
963,"<a href=""http://prd.5footstep.de/Permalink?page_id=963"" target=""_blank"">Schmieren</a>","Elementarmagier (Erde) 1,Barde 1,Paktmagier 1,Kampfmagus 1,Hexenmeister/Magier 1",Beschwörung,Erschaffung,,Macht eine 3m x 3m Fläche oder Gegenstand rutschig.,,,1,,,1,,1,1,,,1,,,,,,Grundregelwerk,324
964,"<a href=""http://prd.5footstep.de/Permalink?page_id=964"" target=""_blank"">Schneesturm</a>","Elementarmagier (Wasser) 3,Hexe 3,Blutwüter 3,Druide 3,Schamane 3,Kampfmagus 3,Jäger 3,Hexenmeister/Magier 3",Beschwörung,Erschaffung,Kälte,Behindert Sicht und Bewegung.,,,,3,3,3,,3,3,,,,,,3,3,3,Grundregelwerk,325
965,"<a href=""http://prd.5footstep.de/Permalink?page_id=965"" target=""_blank"">Schneller Tod</a>","Hexe 6,Kleriker 5,Antipaladin 4,Schamane 6",Nekromantie,,Tod,Berührungsangriff verursacht 12W6 + 1/Stufe Schaden.,,4,,,6,,,,,5,,,,,,6,,Grundregelwerk,325
966,"<a href=""http://prd.5footstep.de/Permalink?page_id=966"" target=""_blank"">Schockgriff</a>","Kampfmagus 1,Hexenmeister/Magier 1,Elementarmagier (Luft) 1,Blutwüter 1",Hervorrufung,,Elektrizität,Berührung verursacht 1W6 Elektrizitätsschaden/Stufe (max. 5W6).,,,,,,1,,1,1,,,,,,1,,,Grundregelwerk,325
967,"<a href=""http://prd.5footstep.de/Permalink?page_id=967"" target=""_blank"">Schutz vor Bösem</a>","Hexenmeister/Magier 1,Inquisitor 1,Blutwüter 1,Paktmagier 1,Schamane 1,Kleriker 1,Paladin 1",Bannzauber,,Gutes,"+2 auf die RK und Rettungswürfe, zusätzlicher Schutz gegen die gewählte Gesinnung.",,,,,,1,1,,1,1,,1,1,,1,1,,Grundregelwerk,325
968,"<a href=""http://prd.5footstep.de/Permalink?page_id=968"" target=""_blank"">Schutz vor Chaos</a>","Hexenmeister/Magier 1,Inquisitor 1,Blutwüter 1,Paktmagier 1,Schamane 1,Kleriker 1,Paladin 1",Bannzauber,,Ordnung,"+2 auf die RK und Rettungswürfe, zusätzlicher Schutz gegen die gewählte Gesinnung.",,,,,,1,1,,1,1,,1,1,,1,1,,Grundregelwerk,325
969,"<a href=""http://prd.5footstep.de/Permalink?page_id=969"" target=""_blank"">Schutz vor Gutem</a>","Hexenmeister/Magier 1,Inquisitor 1,Blutwüter 1,Paktmagier 1,Schamane 1,Kleriker 1,Antipaladin 1",Bannzauber,,Böses,"+2 auf die RK und Rettungswürfe, zusätzlicher Schutz gegen die gewählte Gesinnung.",,1,,,,1,1,,1,1,,1,,,1,1,,Grundregelwerk,325
970,"<a href=""http://prd.5footstep.de/Permalink?page_id=970"" target=""_blank"">Schutz vor Ordnung</a>","Hexenmeister/Magier 1,Inquisitor 1,Blutwüter 1,Paktmagier 1,Schamane 1,Kleriker 1,Antipaladin 1",Bannzauber,,Chaos,"+2 auf die RK und Rettungswürfe, zusätzlicher Schutz gegen die gewählte Gesinnung.",,1,,,,1,1,,1,1,,1,,,1,1,,Grundregelwerk,326
971,"<a href=""http://prd.5footstep.de/Permalink?page_id=971"" target=""_blank"">Schutz vor Pfeilen</a>","Paktmagier 2,Alchemist 2,Hexenmeister/Magier 2,Blutwüter 2",Bannzauber,,,Ziel erhält SR 10/Magie gegen Fernkampfangriffe.,2,,,,,2,,,2,,,2,,,2,,,Grundregelwerk,326
972,"<a href=""http://prd.5footstep.de/Permalink?page_id=972"" target=""_blank"">Schutz vor Energien</a>","Blutwüter 3,Alchemist 3,Schamane 3,Inquisitor 3,Waldläufer 2,Jäger 3,Paktmagier 3,Hexenmeister/Magier 3,Kleriker 3,Elementarmagier (Allgemein) 3,Druide 3",Bannzauber,,,Absorbiert 12 Punkte/Stufe des Schadens von irgendeinem Energietyp.,3,,,3,,3,3,,3,3,,3,,2,3,3,3,Grundregelwerk,326
973,"<a href=""http://prd.5footstep.de/Permalink?page_id=973"" target=""_blank"">Schutz vor Zaubern</a>","Paktmagier 6,Hexenmeister/Magier 8",Bannzauber,,,&lt;sup&gt;MF&lt;/sup&gt;Verleiht einen Resistenzbonus von +8.,,,,,,8,,,8,,,6,,,,,,Grundregelwerk,326
974,"<a href=""http://prd.5footstep.de/Permalink?page_id=974"" target=""_blank"">Schutzhülle gegen Lebendes</a>","Kleriker 6,Druide 6,Schamane 6",Bannzauber,,,"3 m großer Bereich, der lebende Kreaturen abhält.",,,,6,,,,,,6,,,,,,6,,Grundregelwerk,326
975,"<a href=""http://prd.5footstep.de/Permalink?page_id=975"" target=""_blank"">Schutzhülle gegen Pflanzen</a>","Druide 4,Jäger 4",Bannzauber,,,Hält belebte Pflanzen zurück.,,,,4,,,,,,,,,,,,,4,Grundregelwerk,326
976,"<a href=""http://prd.5footstep.de/Permalink?page_id=976"" target=""_blank"">Schutzkreis gegen Böses</a>","Hexenmeister/Magier 3,Inquisitor 3,Schamane 3,Paktmagier 3,Kleriker 3,Paladin 3",Bannzauber,,Gutes,"Wie Schutzzauber, aber in einem Radius von 3 m und 10 Min./Stufe.",,,,,,3,3,,3,3,,3,3,,,3,,Grundregelwerk,326
977,"<a href=""http://prd.5footstep.de/Permalink?page_id=977"" target=""_blank"">Schutzkreis gegen Chaos</a>","Hexenmeister/Magier 3,Inquisitor 3,Schamane 3,Paktmagier 3,Kleriker 3,Paladin 3",Bannzauber,,Ordnung,"Wie Schutzzauber, aber in einem Radius von 3 m und 10 Min./Stufe.",,,,,,3,3,,3,3,,3,3,,,3,,Grundregelwerk,328
978,"<a href=""http://prd.5footstep.de/Permalink?page_id=978"" target=""_blank"">Schutzkreis gegen Gutes</a>","Hexenmeister/Magier 3,Inquisitor 3,Schamane 3,Paktmagier 3,Kleriker 3,Antipaladin 3",Bannzauber,,Böses,"Wie Schutzzauber, aber in einem Radius von 3 m und 10 Min./Stufe.",,3,,,,3,3,,3,3,,3,,,,3,,Grundregelwerk,328
979,"<a href=""http://prd.5footstep.de/Permalink?page_id=979"" target=""_blank"">Schutzkreis gegen Ordnung</a>","Hexenmeister/Magier 3,Inquisitor 3,Schamane 3,Paktmagier 3,Kleriker 3,Antipaladin 3",Bannzauber,,Chaos,"Wie Schutzzauber, aber in einem Radius von 3 m und 10 Min./Stufe.",,3,,,,3,3,,3,3,,3,,,,3,,Grundregelwerk,328
980,"<a href=""http://prd.5footstep.de/Permalink?page_id=980"" target=""_blank"">Schutzmantel des Chaos</a>",Kleriker 8,Bannzauber,,Chaos,"&lt;sup&gt;F&lt;/sup&gt;+4 auf die RK, +4 Resistenz, ZR von 25 gegen rechtschaffene Zauber.",,,,,,,,,,8,,,,,,,,Grundregelwerk,328
982,"<a href=""http://prd.5footstep.de/Permalink?page_id=982"" target=""_blank"">Schwächestrahl</a>","Hexe 1,Kampfmagus 1,Hexenmeister/Magier 1,Blutwüter 1",Nekromantie,,,Strahl verursacht 1W6+1 Stärkeschaden für je 2 Stufen.,,,,,1,1,,1,1,,,,,,1,,,Grundregelwerk,328
983,"<a href=""http://prd.5footstep.de/Permalink?page_id=983"" target=""_blank"">Schwachsinn</a>","Hexe 5,Hexenmeister/Magier 5",Verzauberung,Zwang,Geistesbeeinflussung,IN und CH des Ziels sinken auf 1.,,,,,5,5,,,5,,,,,,,,,Grundregelwerk,328
984,"<a href=""http://prd.5footstep.de/Permalink?page_id=984"" target=""_blank"">Schwarm herbeizaubern</a>","Hexenmeister/Magier 2,Barde 2,Schamane 2,Hexe 2,Jäger 2,Paktmagier 2,Druide 2",Beschwörung,Herbeizauberung,,"Beschwört einen Schwarm Fledermäuse, Ratten oder Spinnen.",,,2,2,2,2,,,2,,,2,,,,2,2,Grundregelwerk,328
985,"<a href=""http://prd.5footstep.de/Permalink?page_id=985"" target=""_blank"">Schwarze Tentakel</a>","Blutwüter 4,Hexe 4,Paktmagier 3,Kampfmagus 4,Hexenmeister/Magier 4",Beschwörung,Erschaffung,,Tentakel winden sich um alle innerhalb einer Ausbreitung von 6m.,,,,,4,4,,4,4,,,3,,,4,,,Grundregelwerk,328
986,"<a href=""http://prd.5footstep.de/Permalink?page_id=986"" target=""_blank"">Schweben</a>","Hexenmeister/Magier 2,Hexe 2,Elementarmagier (Luft) 2,Paktmagier 2,Schamane 2,Alchemist 2,Kampfmagus 2",Verwandlung,,,Ziel bewegt sich nach deinen Vorgaben nach oben oder unten.,2,,,,2,2,,2,2,,,2,,,,2,,Grundregelwerk,329
987,"<a href=""http://prd.5footstep.de/Permalink?page_id=987"" target=""_blank"">Schwebende Scheibe</a>","Kampfmagus 1,Hexenmeister/Magier 1",Hervorrufung,,Energie,"Erzeugt eine waagrechte Scheibe mit einem Durchmesser von 90cm, die 100 Pfd./Stufe tragen kann.",,,,,,1,,1,1,,,,,,,,,Grundregelwerk,329
988,"<a href=""http://prd.5footstep.de/Permalink?page_id=988"" target=""_blank"">Schwere Wunden heilen</a>","Schamane 3,Druide 4,Jäger 4,Barde 3,Alchemist 3,Hexe 4,Waldläufer 4,Inquisitor 3,Paladin 4,Kleriker 3",Beschwörung,Heilung,,Heilt 3W8 Schaden +1/Stufe (max. +15).,3,,3,4,4,,3,,,3,,,4,4,,3,4,Grundregelwerk,329
989,"<a href=""http://prd.5footstep.de/Permalink?page_id=989"" target=""_blank"">Massen-Schwere Wunden heilen</a>","Hexe 8,Kleriker 7,Druide 8,Schamane 7",Beschwörung,Heilung,,Heilt 3W8 Schaden +1/Stufe bei 1 Ziel/Stufe.,,,,8,8,,,,,7,,,,,,7,,Grundregelwerk,329
990,"<a href=""http://prd.5footstep.de/Permalink?page_id=990"" target=""_blank"">Schwere Wunden verursachen</a>","Schamane 3,Hexe 4,Inquisitor 3,Kleriker 3,Antipaladin 4",Nekromantie,,,"Berührungsangriff, 3W8 Schaden +1/Stufe (max. +15).",,4,,,4,,3,,,3,,,,,,3,,Grundregelwerk,329
991,"<a href=""http://prd.5footstep.de/Permalink?page_id=991"" target=""_blank"">Massen-Schwere Wunden verursachen</a>","Hexe 8,Kleriker 7,Schamane 7",Nekromantie,,,Verursacht 3W8 Schaden +1/Stufe bei 1 Ziel/Stufe.,,,,,8,,,,,7,,,,,,7,,Grundregelwerk,329
992,"<a href=""http://prd.5footstep.de/Permalink?page_id=992"" target=""_blank"">Schwerkraft umkehren</a>","Druide 8,Hexenmeister/Magier 7,Elementarmagier (Erde) 7",Verwandlung,,,Objekte und Kreaturen fallen nach oben.,,,,8,,7,,,7,,,,,,,,,Grundregelwerk,329
993,"<a href=""http://prd.5footstep.de/Permalink?page_id=993"" target=""_blank"">Sechster Sinn</a>","Hexe 9,Druide 9,Hexenmeister/Magier 9,Schamane 9",Erkenntnis,,,Ein sechster Sinn warnt dich vor drohender Gefahr.,,,,9,9,9,,,9,,,,,,,9,,Grundregelwerk,330
994,"<a href=""http://prd.5footstep.de/Permalink?page_id=994"" target=""_blank"">Seele binden</a>","Hexe 9,Kleriker 9,Hexenmeister/Magier 9,Schamane 9",Nekromantie,,,"Sperrt die Seele eines kürzlich Verstorbenen ein, um Auferstehung zu verhindern.",,,,,9,9,,,9,9,,,,,,9,,Grundregelwerk,330
995,"<a href=""http://prd.5footstep.de/Permalink?page_id=995"" target=""_blank"">Seelenfalle</a>","Hexe 8,Hexenmeister/Magier 8",Beschwörung,Herbeizauberung,,&lt;sup&gt;M&lt;/sup&gt;Sperrt das Ziel in einem Edelstein ein.,,,,,8,8,,,8,,,,,,,,,Grundregelwerk,330
996,"<a href=""http://prd.5footstep.de/Permalink?page_id=996"" target=""_blank"">Segnen</a>","Inquisitor 1,Kleriker 1,Paladin 1,Schamane 1",Verzauberung,Zwang,Geistesbeeinflussung,Verbündete erhalten +1 auf Angriffswürfe und Rettungswürfe gegen Furcht.,,,,,,,1,,,1,,,1,,,1,,Grundregelwerk,330
997,"<a href=""http://prd.5footstep.de/Permalink?page_id=997"" target=""_blank"">Seil beleben</a>","Barde 1,Hexenmeister/Magier 1",Verwandlung,,,Ein Seil bewegt sich auf deinen Befehl hin.,,,1,,,1,,,1,,,,,,,,,Grundregelwerk,330
998,"<a href=""http://prd.5footstep.de/Permalink?page_id=998"" target=""_blank"">Seiltrick</a>",Hexenmeister/Magier 2,Verwandlung,,,Bis zu acht Kreaturen können sich in einem außerdimensionalen Raum verstecken.,,,,,,2,,,2,,,,,,,,,Grundregelwerk,331
999,"<a href=""http://prd.5footstep.de/Permalink?page_id=999"" target=""_blank"">Selbstverkleidung</a>","Barde 1,Inquisitor 1,Alchemist 1,Hexenmeister/Magier 1",Illusion,Fehlgefühl,,Ändert dein Aussehen.,1,,1,,,1,1,,1,,,,,,,,,Grundregelwerk,331
1000,"<a href=""http://prd.5footstep.de/Permalink?page_id=1000"" target=""_blank"">Sengender Strahl</a>","Kampfmagus 2,Hexenmeister/Magier 2,Elementarmagier (Feuer) 2,Blutwüter 2",Hervorrufung,,Feuer,"Berührungsangriff auf Entfernung, verursacht 4W6 Feuerschaden, +1 Strahl/4 Stufen (max. 3).",,,,,,2,,2,2,,,,,,2,,,Grundregelwerk,331
1001,"<a href=""http://prd.5footstep.de/Permalink?page_id=1001"" target=""_blank"">Shillelagh</a>","Druide 1,Jäger 1",Verwandlung,,,Knüppel oder Kampfstab werden 1Min./Stufe zu einer Waffe +1 (1W8 Schaden).,,,,1,,,,,,,,,,,,,1,Grundregelwerk,331
1002,"<a href=""http://prd.5footstep.de/Permalink?page_id=1002"" target=""_blank"">Sicherer Unterschlupf</a>","Barde 4,Hexe 4,Hexenmeister/Magier 4",Beschwörung,Erschaffung,,Erschafft eine stabile Hütte.,,,4,,4,4,,,4,,,,,,,,,Grundregelwerk,332
1003,"<a href=""http://prd.5footstep.de/Permalink?page_id=1003"" target=""_blank"">Simulakrum</a>","Paktmagier 5,Hexenmeister/Magier 7",Illusion,Schattenzauber,,&lt;sup&gt;M&lt;/sup&gt;Erschafft einen teilweisen realen Doppelgänger einer Kreatur.,,,,,,7,,,7,,,5,,,,,,Grundregelwerk,332
1004,"<a href=""http://prd.5footstep.de/Permalink?page_id=1004"" target=""_blank"">Sofortige herbeizauberung</a>","Hexe 7,Hexenmeister/Magier 7",Beschwörung,Herbeizauberung,,&lt;sup&gt;M&lt;/sup&gt;Präparierter Gegenstand erscheint in deinen Händen.,,,,,7,7,,,7,,,,,,,,,Grundregelwerk,332
1005,"<a href=""http://prd.5footstep.de/Permalink?page_id=1005"" target=""_blank"">Sonnenfeuer</a>","Druide 8,Hexenmeister/Magier 8,Schamane 8",Hervorrufung,,Licht,Lässt alle innerhalb von 3m erblinden und verursacht 6W6 Schaden.,,,,8,,8,,,8,,,,,,,8,,Grundregelwerk,332
1006,"<a href=""http://prd.5footstep.de/Permalink?page_id=1006"" target=""_blank"">Sonnenstrahl</a>","Druide 7,Schamane 7",Hervorrufung,,Licht,Blendet und verursacht 4W6 Schaden.,,,,7,,,,,,,,,,,,7,,Grundregelwerk,333
1007,"<a href=""http://prd.5footstep.de/Permalink?page_id=1007"" target=""_blank"">Spätzündender Feuerball</a>","Hexenmeister/Magier 7,Elementarmagier (Feuer) 7",Hervorrufung,,Feuer,1W6 Feuerschaden/Stufe; du kannst die Explosion bis zu 5 Runden lang verzögern.,,,,,,7,,,7,,,,,,,,,Grundregelwerk,333
1008,"<a href=""http://prd.5footstep.de/Permalink?page_id=1008"" target=""_blank"">Sphäre der Unsichtbarkeit</a>","Barde 3,Hexenmeister/Magier 3",Illusion,Fehlgefühl,,Mach jeden innerhalb von 3m unsichtbar.,,,3,,,3,,,3,,,,,,,,,Grundregelwerk,333
1009,"<a href=""http://prd.5footstep.de/Permalink?page_id=1009"" target=""_blank"">Spiegelbilder</a>","Barde 2,Kampfmagus 2,Hexenmeister/Magier 2,Blutwüter 2",Illusion,Einbildung,,Erschafft Doppelgänger deiner selbst.,,,2,,,2,,2,2,,,,,,2,,,Grundregelwerk,333
1010,"<a href=""http://prd.5footstep.de/Permalink?page_id=1010"" target=""_blank"">Spinnenklettern</a>","Hexenmeister/Magier 2,Paktmagier 2,Blutwüter 2,Druide 2,Jäger 2,Alchemist 2,Kampfmagus 2",Verwandlung,,,"Verleiht die Fähigkeit, an Wänden und Decken zu klettern.",2,,,2,,2,,2,2,,,2,,,2,,2,Grundregelwerk,333
1011,"<a href=""http://prd.5footstep.de/Permalink?page_id=1011"" target=""_blank"">Spinnennetz</a>","Hexe 2,Kampfmagus 2,Hexenmeister/Magier 2",Beschwörung,Erschaffung,,"6m großer Radius wird mit klebrigen Spinnenfäden gefüllt, die Feinde umklammern und ihre Bewegung behindern können.",,,,,2,2,,2,2,,,,,,,,,Grundregelwerk,333
1012,"<a href=""http://prd.5footstep.de/Permalink?page_id=1012"" target=""_blank"">Sprachen verstehen</a>","Alchemist 1,Barde 1,Hexenmeister/Magier 1,Hexe 1,Schamane 1,Inquisitor 1,Kleriker 1",Erkenntnis,,,Du kannst alle gesprochenen und geschriebenen Sprachen verstehen.,1,,1,,1,1,1,,1,1,,,,,,1,,Grundregelwerk,334
1013,"<a href=""http://prd.5footstep.de/Permalink?page_id=1013"" target=""_blank"">Springen</a>","Kampfmagus 1,Paktmagier 1,Hexenmeister/Magier 1,Druide 1,Blutwüter 1,Alchemist 1,Jäger 1,Waldläufer 1",Verwandlung,,,Ziel erhält Bonus auf Würfe für Akrobatik.,1,,,1,,1,,1,1,,,1,,1,1,,1,Grundregelwerk,334
1014,"<a href=""http://prd.5footstep.de/Permalink?page_id=1014"" target=""_blank"">Sprühende Farben</a>","Kampfmagus 1,Hexenmeister/Magier 1,Blutwüter 1",Illusion,Täuschung,Geistesbeeinflussung,"Macht Kreaturen bewusstlos, blind und oder betäubt sie.",,,,,,1,,1,1,,,,,,1,,,Grundregelwerk,334
1015,"<a href=""http://prd.5footstep.de/Permalink?page_id=1015"" target=""_blank"">Spurloses gehen</a>","Druide 1,Waldläufer 1,Schamane 1,Jäger 1",Verwandlung,,,Ein Ziel/Stufe hinterlässt keine Spuren.,,,,1,,,,,,,,,,1,,1,1,Grundregelwerk,334
1016,"<a href=""http://prd.5footstep.de/Permalink?page_id=1016"" target=""_blank"">Stabilisieren</a>","Schamane 0,Hexe 0,Jäger 0,Inquisitor 0,Kleriker 0,Druide 0",Beschwörung,Heilung,,Stabilisiert eine sterbende Kreatur.,,,,0,0,,0,,,0,,,,,,0,0,Grundregelwerk,334
